id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
108,http://www.wonkette.com,wonkette.com,,Wonkette Blog,,online_news,,,,49,2001-11-09 00:00:00+00:00,en
111,http://thinkprogress.org,thinkprogress.org,,Think Progress,,online_news,USA,,,0,2002-05-14 00:00:00+00:00,en
113,http://www.talkingpointsmemo.com,talkingpointsmemo.com,,Talking Points Memo,,online_news,USA,,digital_native,42,2000-11-13 00:00:00+00:00,en
115,http://www.dailykos.com,dailykos.com,,Daily Kos,,online_news,USA,,digital_native,123,2000-09-12 00:00:00+00:00,en
139,http://www.americablog.com,americablog.com,,AMERICAblog,,online_news,,,,0,2004-10-06 00:00:00+00:00,en
150,http://dcist.com/,dcist.com,,DCist,,online_news,USA,US-DC,digital_native,0,2004-10-20 00:00:00+00:00,en
151,http://www.progressive.org,progressive.org,,The Progressive,,online_news,,,,12,1995-01-01 00:00:00+00:00,en
159,https://www.queerty.com/,queerty.com,,Queerty,,online_news,USA,US-CA,,2,2005-10-18 00:00:00+00:00,en
307,http://www.crooksandliars.com,crooksandliars.com,,Crooks and Liars,,online_news,,,,152,2004-08-09 00:00:00+00:00,en
312,http://www.democraticunderground.com,democraticunderground.com,,Democratic Underground,,online_news,,,,,1997-12-31 00:00:00+00:00,en
1008,http://www.thenation.com/,thenation.com,,thenation.com,,online_news,,,,80,1995-08-14 00:00:00+00:00,en
1112,http://www.motherjones.com/,motherjones.com,,Mother Jones,,online_news,USA,,print_native,47,1995-01-01 00:00:00+00:00,en
1113,http://www.harpers.org/,harpers.org,,Harper's Magazine,,online_news,USA,,print_native,0,1998-11-01 00:00:00+00:00,en
1127,http://rawstory.com,rawstory.com,,Raw Story,,online_news,USA,,digital_native,551,2000-05-02 00:00:00+00:00,en
1133,http://www.commondreams.org/,commondreams.org,,Common Dreams,,online_news,USA,,,138,2000-02-21 00:00:00+00:00,en
1144,http://globalvoicesonline.org/,globalvoicesonline.org,,Global Voices Online,,online_news,NLD,,,89,2004-10-26 00:00:00+00:00,en
1147,http://mediamatters.org,mediamatters.org,,Media Matters,,online_news,,,,54,2001-11-09 00:00:00+00:00,en
1154,http://hosted.ap.org/dynamic/fronts/HOME?SITE=AP,ap.org,,ap.org,,online_news,USA,,other,255,2004-12-10 00:00:00+00:00,en
1254,http://stlamerican.com/,stlamerican.com,,St. Louis American,,online_news,USA,US-MO,print_native,,2007-02-15 00:00:00+00:00,en
1402,http://wweek.com/,wweek.com,,Willamette Week,,online_news,USA,US-OR,print_native,,1999-11-30 00:00:00+00:00,en
1409,http://www.opb.org/,opb.org,,kopb,,online_news,USA,US-OR,video_broadcast,96,2007-10-31 00:00:00+00:00,en
1721,https://www.democracynow.org,democracynow.org,,democracynow.org,,online_news,,,,29,1996-02-19 00:00:00+00:00,en
4443,http://stereogum.com,stereogum.com,,Stereogum,,online_news,,,,144,2006-08-23 00:00:00+00:00,en
5810,http://gothamist.com/,gothamist.com,,Gothamist,,online_news,USA,US-NY,digital_native,84,2003-03-24 00:00:00+00:00,en
6154,http://jezebel.com,jezebel.com,,Jezebel,,online_news,USA,,digital_native,32,2007-03-10 00:00:00+00:00,en
6169,http://www.nybooks.com/,nybooks.com,,nybooks.com,,online_news,,,,13,1995-02-02 00:00:00+00:00,en
6363,http://www.fair.org,fair.org,,FAIR,,online_news,,,,31,1995-01-01 00:00:00+00:00,en
18641,http://www.ucsusa.org,ucsusa.org,,ucsusa.org,,online_news,,,,1,2002-07-15 00:00:00+00:00,
18644,http://www.boston.com,boston.com,,boston.com,,online_news,USA,US-MA,print_native,,1995-01-06 00:00:00+00:00,en
19536,http://www.niemanlab.org,niemanlab.org,,niemanlab.org,,online_news,USA,,,6,2009-02-25 00:00:00+00:00,en
20598,https://www.washingtonblade.com/,washingtonblade.com,,Washington Blade,,online_news,USA,US-DC,print_native,36,2004-11-05 00:00:00+00:00,en
20700,http://thesocietypages.org,thesocietypages.org,,thesocietypages.org,,online_news,,,,,2007-10-22 00:00:00+00:00,
20741,http://www.seattleweekly.com/,seattleweekly.com,,Seattle Weekly,,online_news,USA,US-WA,print_native,6,1999-07-07 00:00:00+00:00,en
20782,http://thenewcivilrightsmovement.com,thenewcivilrightsmovement.com,,thenewcivilrightsmovement.com,,online_news,,,,17,2009-04-03 00:00:00+00:00,en
20815,http://www.pitchfork.com,pitchfork.com,,pitchfork.com,,online_news,USA,,digital_native,67,1999-06-01 00:00:00+00:00,en
21015,https://www.lgbtqnation.com/,lgbtqnation.com,,LGBTQ Nation,,online_news,USA,US-CA,,75,2005-07-21 00:00:00+00:00,en
21246,http://www.themarysue.com,themarysue.com,,themarysue.com,,online_news,,,,,2010-01-29 00:00:00+00:00,en
175310,http://www.thestranger.com/,thestranger.com,,www.thestranger.com,,online_news,USA,US-WA,print_native,29,1999-02-25 00:00:00+00:00,en
21537,http://www.villagevoice.com,villagevoice.com,,Village Voice,,online_news,USA,US-NY,print_native,22,1997-09-30 00:00:00+00:00,en
21999,http://inthesetimes.com,inthesetimes.com,,In These Times,,online_news,,,,9,2001-04-30 00:00:00+00:00,en
22177,http://pressthink.org,pressthink.org,,pressthink.org,,online_news,,,,0,2003-09-01 00:00:00+00:00,en
22332,http://www.truth-out.org,truth-out.org,,Truthout,,online_news,USA,,digital_native,70,2003-04-19 00:00:00+00:00,en
23251,http://www.kuow.org,kuow.org,,kuow.org,,online_news,USA,US-WA,video_broadcast,,2001-06-03 00:00:00+00:00,en
23314,http://www.washingtoncitypaper.com,washingtoncitypaper.com,,washingtoncitypaper.com,,online_news,USA,US-DC,print_native,31,1995-01-06 00:00:00+00:00,en
25186,http://www.mit.edu,mit.edu,,mit.edu,,online_news,,,,2,1995-01-15 00:00:00+00:00,en
24566,http://www.sentencingproject.org,sentencingproject.org,,sentencingproject.org,,online_news,,,,3,1998-10-01 00:00:00+00:00,en
24580,http://littlegreenfootballs.com,littlegreenfootballs.com,,littlegreenfootballs.com,,online_news,,,,18,2001-02-07 00:00:00+00:00,en
24581,http://colorlines.com,colorlines.com,,colorlines.com,,online_news,USA,,digital_native,4,1998-06-10 00:00:00+00:00,en
24599,http://thegrio.com,thegrio.com,,thegrio.com,,online_news,,,,82,2009-04-27 00:00:00+00:00,en
24661,http://newsone.com,newsone.com,,newsone.com,,online_news,USA,US-NY,digital_native,25,2000-01-01 00:00:00+00:00,en
24704,http://www.cityandstateny.com,cityandstateny.com,,cityandstateny.com,,online_news,USA,US-NY,print_native,33,2011-07-20 00:00:00+00:00,en
24716,http://www.politicususa.com,politicususa.com,,PoliticusUSA,,online_news,,,,23,2008-04-27 00:00:00+00:00,en
25127,http://www.tomdispatch.com,tomdispatch.com,,tomdispatch.com,,online_news,,,,3,2003-02-01 00:00:00+00:00,en
25208,http://www.rap-up.com,rap-up.com,,rap-up.com,,online_news,,,,,2008-07-11 00:00:00+00:00,
25271,http://www.brooklynpaper.com,brooklynpaper.com,,brooklynpaper.com,,online_news,USA,US-NY,print_native,21,2001-03-12 00:00:00+00:00,en
25363,http://www.nationalmemo.com,nationalmemo.com,,National Memo,,online_news,USA,,digital_native,30,2011-08-25 00:00:00+00:00,en
25369,http://www.rightwingwatch.org,rightwingwatch.org,,Right Wing Watch,,online_news,,,,11,2006-01-08 00:00:00+00:00,en
25388,https://www.columbiaspectator.com/,columbiaspectator.com,,Daily Spectator,Columbia University,online_news,USA,US-NY,print_native,,2001-09-17 00:00:00+00:00,en
