id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
1,http://nytimes.com,nytimes.com,,New York Times,,online_news,USA,US-NY,print_native,2230,1995-01-01 00:00:00+00:00,en
2,https://washingtonpost.com,washingtonpost.com,,washingtonpost.com,,online_news,USA,US-DC,print_native,142,1969-12-31 00:00:00+00:00,
3,http://www.csmonitor.com/,csmonitor.com,,csmonitor.com,,online_news,USA,US-MA,print_native,66,1995-02-01 00:00:00+00:00,en
6,https://www.latimes.com,latimes.com,,latimes.com,,online_news,USA,US-CA,print_native,747,1987-06-03 00:00:00+00:00,en
8,http://www.nydailynews.com/,nydailynews.com,,Daily News,Public info about ny daily news,online_news,USA,US-NY,print_native,433,1995-03-06 00:00:00+00:00,en
12,http://www.dallasnews.com/,dallasnews.com,,Dallas Morning News,,online_news,USA,US-TX,print_native,,1995-09-06 00:00:00+00:00,en
21511,http://www.bostonglobe.com,bostonglobe.com,,Boston Globe,,online_news,USA,US-MA,,1080,1995-03-05 00:00:00+00:00,en
34,http://www.baltimoresun.com/,baltimoresun.com,,Baltimore Sun,,online_news,USA,US-MD,print_native,657,1995-01-01 00:00:00+00:00,en
140,http://politicalwire.com,politicalwire.com,,Taegan Goddard's Political Wire,,online_news,USA,,digital_native,331,2002-08-20 00:00:00+00:00,en
20153,http://www.foreignpolicy.com/,foreignpolicy.com,,foreignpolicy.com,,online_news,USA,,,64,2000-11-09 00:00:00+00:00,en
759538,http://dev.takepart.com/,takepart.com,,dev.takepart.com,,online_news,,,,,2012-05-22 00:00:00+00:00,
798,http://factcheck.org/,factcheck.org,,FactCheck,,online_news,USA,,digital_native,5,2003-12-05 00:00:00+00:00,en
21091,http://www.observer.com,observer.com,,observer.com,,online_news,USA,,digital_native,56,1997-09-22 00:00:00+00:00,en
1093,http://www.pbs.org/newshour/,pbs.org,,pbs.org,,online_news,,,,201,1995-04-08 00:00:00+00:00,en
1096,http://www.npr.org/,npr.org,,npr.org,,online_news,USA,,video_broadcast,406,1996-01-17 00:00:00+00:00,en
1101,http://www.newyorker.com/,newyorker.com,,newyorker.com,,online_news,USA,,print_native,118,1950-10-07 00:00:00+00:00,en
1106,http://www.economist.com/,economist.com,,economist.com,,online_news,GBR,,print_native,565,1996-01-04 00:00:00+00:00,en
1109,http://nymag.com/,nymag.com,,New York Magazine,,online_news,USA,US-NY,print_native,115,1995-03-13 00:00:00+00:00,en
1110,http://theatlantic.com,theatlantic.com,,theatlantic.com,,online_news,USA,,print_native,66,1959-04-01 00:00:00+00:00,en
18203,http://aljazeera.net,aljazeera.net,,الجزيرة نت,,online_news,QAT,,video_broadcast,1496,1997-02-20 00:00:00+00:00,ar
1256,http://thedailyrecord.com/,thedailyrecord.com,,The Daily Record Maryland,,online_news,USA,US-MD,print_native,94,2001-05-22 00:00:00+00:00,en
1259,http://www.riverfronttimes.com/,riverfronttimes.com,,St. Louis Riverfront Times,,online_news,USA,US-MO,print_native,17,1999-01-27 00:00:00+00:00,en
1342,http://www.miaminewtimes.com/,miaminewtimes.com,,Miami New Times,,online_news,USA,US-FL,print_native,56,1995-04-13 00:00:00+00:00,en
1344,http://www.palmbeachdailynews.com/,palmbeachdailynews.com,,Palm Beach Daily News,,online_news,USA,US-FL,print_native,,1995-05-11 00:00:00+00:00,en
1404,http://www.katu.com/,katu.com,,katu abc,,online_news,USA,US-OR,video_broadcast,,1997-11-04 00:00:00+00:00,en
1492,https://www.michigandaily.com/,michigandaily.com,,The Michigan Daily,University of Michigan,online_news,USA,US-MI,print_native,102,2002-01-23 00:00:00+00:00,en
1511,http://www.mountainx.com,mountainx.com,,Mountain Xpress,,online_news,USA,US-NC,print_native,31,2002-06-03 00:00:00+00:00,en
1608,http://www.dailyprogress.com,dailyprogress.com,,charlottesville daily progress,,online_news,USA,US-VA,print_native,508,2007-01-16 00:00:00+00:00,en
1707,http://www.thedailybeast.com/,thedailybeast.com,,thedailybeast.com,,online_news,USA,,digital_native,128,1999-10-10 00:00:00+00:00,en
1720,http://boingboing.net,boingboing.net,,Boing Boing,,online_news,USA,,,160,2000-01-21 00:00:00+00:00,en
1723,http://www.pri.org,pri.org,,PRI,,online_news,,,video_broadcast,11,2000-03-10 00:00:00+00:00,en
1757,http://www.salon.com/,salon.com,,salon.com,,online_news,USA,,digital_native,120,1995-12-30 00:00:00+00:00,en
4419,http://www.time.com/time/,time.com,,time.com,,online_news,USA,,,118,1995-01-03 00:00:00+00:00,en
1089,http://www.reuters.com/,reuters.com,,Reuters,stopped official rss support in 2020,online_news,USA,,other,5263,1995-01-02 00:00:00+00:00,en
4469,http://gizmodo.com,gizmodo.com,,Gizmodo,,online_news,USA,,,146,2004-11-11 00:00:00+00:00,en
4495,http://kotaku.com,kotaku.com,,Kotaku,,online_news,,,,79,2007-03-22 00:00:00+00:00,en
5521,http://www.rollingstone.com,rollingstone.com,,Rolling Stone,,online_news,USA,,print_native,259,1995-01-11 00:00:00+00:00,en
5553,http://www.smashingmagazine.com,smashingmagazine.com,,Smashing Magazine Feed,,online_news,,,,4,2006-09-02 00:00:00+00:00,en
1199354,http://nationalgeographic.com/,nationalgeographic.com,,nationalgeographic.com,,online_news,,,,,2000-10-24 00:00:00+00:00,en
5645,http://www.treehugger.com/,treehugger.com,,TreeHugger,,online_news,,,,,2004-11-04 00:00:00+00:00,en
5804,http://www.cracked.com,cracked.com,,Cracked: All Posts,,online_news,,,,3,2004-01-01 00:00:00+00:00,en
5880,http://gawker.com,gawker.com,,Gawker,,online_news,USA,,digital_native,12,1996-07-09 00:00:00+00:00,en
5915,http://www.fivethirtyeight.com/,fivethirtyeight.com,,FiveThirtyEight,,online_news,USA,,digital_native,2,2008-02-12 00:00:00+00:00,en
5933,http://www.eurekalert.org,eurekalert.org,,EurekAlert! - Space and Planetary Science,,online_news,,,,,1996-06-29 00:00:00+00:00,en
5938,http://thebloggess.com,thebloggess.com,,TheBloggess.com,,online_news,,,,1,2010-01-06 00:00:00+00:00,en
6028,http://www.geekologie.com/,geekologie.com,,"Geekologie - Gadgets, Gizmos, and Awesome",,online_news,,,,,2006-07-24 00:00:00+00:00,en
6117,http://laughingsquid.com,laughingsquid.com,,Laughing Squid,,online_news,,,,32,2006-01-26 00:00:00+00:00,en
6138,http://www.technologyreview.com/,technologyreview.com,,Technology Review RSS Feeds,,online_news,,,,20,1998-11-01 00:00:00+00:00,en
1359566,http://food.lohudblogs.com/,lohudblogs.com,,food.lohudblogs.com,,online_news,,,,0,2010-06-15 00:00:00+00:00,
18351,http://arstechnica.com,arstechnica.com,,arstechnica.com,,online_news,USA,,digital_native,84,1999-02-17 00:00:00+00:00,en
18391,http://www.politifact.com,politifact.com,,Politifact,,online_news,,,,31,1995-04-01 00:00:00+00:00,en
18644,http://www.boston.com,boston.com,,boston.com,,online_news,USA,US-MA,print_native,,1995-01-06 00:00:00+00:00,en
18701,http://infodocket.com,infodocket.com,,infodocket.com,,online_news,,,,20,2011-02-15 00:00:00+00:00,en
18817,http://blogs.discovermagazine.com,discovermagazine.com,,blogs.discovermagazine.com,,online_news,,,,15,2000-01-20 00:00:00+00:00,en
18824,http://www.theatlanticwire.com,theatlanticwire.com,,theatlanticwire.com,,online_news,,,,,2010-02-03 00:00:00+00:00,
18897,http://www.bbc.co.uk,bbc.co.uk,,bbc.co.uk,,online_news,,,,1373,1995-01-27 00:00:00+00:00,en
366918,http://wbur.org/,wbur.org,,wbur.org,,online_news,,,,17,2002-10-23 00:00:00+00:00,en
18974,http://www.channelnewsasia.com,channelnewsasia.com,,channelnewsasia.com,,online_news,,,video_broadcast,863,2006-08-05 00:00:00+00:00,en
135862,http://us.oup.com/,oup.com,,us.oup.com,,online_news,,,,6,1995-01-01 00:00:00+00:00,en
