id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
4,http://www.usatoday.com,usatoday.com,,USA Today,,online_news,USA,US-OH,print_native,1886,1995-03-01 00:00:00+00:00,en
7,https://nypost.com,nypost.com,,nypost.com,,online_news,USA,US-NY,print_native,2287,1999-01-01 00:00:00+00:00,en
9,https://www.chicagotribune.com,chicagotribune.com,,chicagotribune.com,,online_news,USA,US-IL,print_native,914,1995-01-03 00:00:00+00:00,en
10,https://www.chron.com,chron.com,,chron.com,,online_news,USA,US-TX,print_native,166,1998-03-22 00:00:00+00:00,en
13,http://www.newsday.com/,newsday.com,,Newsday,,online_news,USA,US-NY,print_native,1905,1996-10-27 00:00:00+00:00,en
14,http://sfgate.com,sfgate.com,,sfgate.com,,online_news,USA,US-CA,digital_native,1449,1995-01-04 00:00:00+00:00,en
17,http://www.ajc.com/,ajc.com,,ajc.com,,online_news,USA,US-GA,print_native,916,1995-10-21 00:00:00+00:00,en
19,http://www.startribune.com/,startribune.com,,Star Tribune,,online_news,USA,US-MN,print_native,206,1996-08-01 00:00:00+00:00,en
22,http://www.tampabay.com/,tampabay.com,,Tampa Bay Times,,online_news,USA,US-FL,print_native,254,1996-08-10 00:00:00+00:00,en
26,http://www.sacbee.com/,sacbee.com,,Sac Bee,,online_news,USA,US-CA,print_native,,1999-04-11 00:00:00+00:00,en
27,http://www.stltoday.com/,stltoday.com,,St. Louis Post Dispatch,,online_news,USA,US-MO,print_native,687,1999-08-28 00:00:00+00:00,en
28,http://www.miamiherald.com/,miamiherald.com,,miamiherald.com,,online_news,USA,US-FL,print_native,15,1996-01-06 00:00:00+00:00,en
30,http://www.kansascity.com/,kansascity.com,,Kansas City Star,,online_news,USA,US-MO,print_native,,1999-04-11 00:00:00+00:00,en
31,http://www.denverpost.com/,denverpost.com,,The Denver Post,,online_news,USA,US-CO,print_native,323,1995-12-24 00:00:00+00:00,en
33,http://www.mysanantonio.com/,mysanantonio.com,,San Antonio Express News,,online_news,USA,US-TX,video_broadcast,243,2003-04-23 00:00:00+00:00,en
34,http://www.baltimoresun.com/,baltimoresun.com,,Baltimore Sun,,online_news,USA,US-MD,print_native,657,1995-01-01 00:00:00+00:00,en
35,http://www.mercurynews.com/,mercurynews.com,,San Jose Mercury News,,online_news,USA,US-CA,print_native,588,2001-07-26 00:00:00+00:00,en
36,http://www.jsonline.com/,jsonline.com,,Milwaukee Journal Sentinel,,online_news,USA,US-WI,print_native,294,1995-04-08 00:00:00+00:00,en
38,http://www.orlandosentinel.com/,orlandosentinel.com,,Orlando Sentinel,,online_news,USA,US-FL,print_native,524,1995-01-04 00:00:00+00:00,en
39,https://www.sun-sentinel.com,sun-sentinel.com,,sun-sentinel.com,,online_news,USA,US-FL,print_native,497,1995-01-01 00:00:00+00:00,en
41,http://www.dispatch.com/,dispatch.com,,Columbus Dispatch,,online_news,USA,US-OH,print_native,231,2006-07-23 00:00:00+00:00,en
45,http://www.post-gazette.com/,post-gazette.com,,Pittsburgh Post-Gazette,,online_news,USA,US-PA,print_native,341,1998-05-04 00:00:00+00:00,en
51,http://bostonherald.com/,bostonherald.com,,bostonherald.com,,online_news,USA,US-MA,print_native,560,2007-07-22 00:00:00+00:00,en
52,http://www.twincities.com/,twincities.com,,St.Paul Pioneer-Press,,online_news,USA,US-MN,print_native,1591,1999-05-12 00:00:00+00:00,en
147704,http://arkansasonline.com/,arkansasonline.com,,arkansasonline.com,,online_news,,,,656,1998-06-08 00:00:00+00:00,en
57,http://buffalonews.com,buffalonews.com,,The Buffalo News,,online_news,USA,US-NY,print_native,1,1995-02-21 00:00:00+00:00,en
58,http://www.newsobserver.com/,newsobserver.com,,News & Observer,,online_news,USA,US-NC,print_native,1,1999-12-31 00:00:00+00:00,en
59,http://www.courant.com/,courant.com,,Hartford Courant,,online_news,USA,US-CT,print_native,557,1995-01-09 00:00:00+00:00,en
60,http://www.palmbeachpost.com/,palmbeachpost.com,,Palm Beach Post,,online_news,USA,US-FL,video_broadcast,,1995-10-28 00:00:00+00:00,en
62,http://www.statesman.com/,statesman.com,,Austin American-Statesman,,online_news,USA,US-TX,print_native,0,2001-11-09 00:00:00+00:00,en
63,http://www.pe.com/,pe.com,,The Press-Enterprise,,online_news,USA,US-CA,print_native,417,2007-09-30 00:00:00+00:00,en
65,http://www.northjersey.com/,northjersey.com,,"The Record - Hackensack,NJ",,online_news,USA,US-NJ,print_native,395,2002-09-07 00:00:00+00:00,en
67,http://www.fresnobee.com/,fresnobee.com,,The Fresno Bee,,online_news,USA,US-CA,print_native,,2006-10-11 00:00:00+00:00,en
71,http://www.commercialappeal.com/,commercialappeal.com,,The Commercial Appeal,,online_news,USA,US-TN,print_native,325,2006-03-10 00:00:00+00:00,en
74,http://www.dailynews.com/,dailynews.com,,Los Angeles Daily News,,online_news,USA,US-CA,print_native,592,1997-03-07 00:00:00+00:00,en
78,http://www.sltrib.com/,sltrib.com,,Salt Lake Tribune,,online_news,USA,US-UT,print_native,157,1998-07-06 00:00:00+00:00,en
80,http://www.toledoblade.com/,toledoblade.com,,The Blade,,online_news,,,,306,1999-03-28 00:00:00+00:00,en
85,http://www.ohio.com,ohio.com,,The Akron Beacon Journal,,online_news,USA,US-OH,print_native,,1999-07-26 00:00:00+00:00,en
89,http://www.knoxnews.com/,knoxnews.com,,The Knoxville News Sentinel,,online_news,USA,US-TN,print_native,347,1997-05-16 00:00:00+00:00,en
90,http://www.thenewstribune.com/,thenewstribune.com,,The News Tribune,,online_news,USA,US-WA,print_native,,1999-12-31 00:00:00+00:00,en
113722,https://tucson.com,tucson.com,,tucson.com,,online_news,USA,US-AZ,print_native,76,1999-11-30 00:00:00+00:00,en
96,http://www.kentucky.com/,kentucky.com,,Lexington Herald-Leader,,online_news,USA,US-KY,print_native,,2004-05-20 00:00:00+00:00,en
97,http://www.mcall.com/,mcall.com,,Morning Call,,online_news,USA,US-PA,print_native,295,1995-01-20 00:00:00+00:00,en
98,http://www.thestate.com/,thestate.com,,thestate,,online_news,USA,US-SC,print_native,,1998-03-03 00:00:00+00:00,en
99,https://www.abqjournal.com/,abqjournal.com,,Albuquerque Journal,,online_news,USA,US-NM,print_native,7,2000-05-26 00:00:00+00:00,en
104,http://www.dailyherald.com/,dailyherald.com,,"Daily Herald - Arlington Heights, IL",,online_news,USA,US-IL,print_native,89,2008-02-29 00:00:00+00:00,en
197,http://www.consortiumnews.com,consortiumnews.com,,Consortiumnews.com,,online_news,,,,20,1999-11-17 00:00:00+00:00,en
209455,http://thehill.com/,thehill.com,,thehill.com,,online_news,USA,,,677,2001-01-10 00:00:00+00:00,en
1095,http://www.cnn.com/,cnn.com,,CNN,,online_news,USA,US-GA,video_broadcast,1187,1995-07-10 00:00:00+00:00,en
1100,https://usnews.com,usnews.com,,usnews.com,,online_news,USA,,print_native,,1997-11-23 00:00:00+00:00,en
