id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
25,http://www.ocregister.com/,ocregister.com,,Orange County Register,,online_news,USA,US-CA,print_native,642,2005-01-30 00:00:00+00:00,en
279980,http://oklahoman.com/,oklahoman.com,,oklahoman.com,,online_news,,,,,1995-06-20 00:00:00+00:00,en
54,http://www.omaha.com/,omaha.com,,Omaha World-Herald,,online_news,USA,US-NE,print_native,258,1999-11-12 00:00:00+00:00,en
68,http://www.jacksonville.com/,jacksonville.com,,The Florida Times-Union,,online_news,USA,US-FL,print_native,0,1996-09-07 00:00:00+00:00,en
88,http://www.tulsaworld.com/,tulsaworld.com,,Tulsa World,,online_news,USA,US-OK,print_native,27,1995-04-24 00:00:00+00:00,en
91,http://www.heraldtribune.com/,heraldtribune.com,,Sarasota Herald-Tribune,,online_news,USA,US-FL,video_broadcast,,2002-07-17 00:00:00+00:00,en
103,http://www.eastvalleytribune.com/,eastvalleytribune.com,,East Valley Tribune,,online_news,USA,US-AZ,print_native,,2003-03-30 00:00:00+00:00,en
1040,http://realclearpolitics.com/,realclearpolitics.com,,RealClearPolitics,,online_news,USA,,digital_native,441,2005-11-02 00:00:00+00:00,en
1198,http://www.nbcdfw.com/,nbcdfw.com,,kxas nbc 5,,online_news,USA,US-TX,video_broadcast,359,2008-10-16 00:00:00+00:00,en
1199,http://www.wfaa.com/,wfaa.com,,WFAA ABC,,online_news,USA,US-TX,video_broadcast,426,1997-02-19 00:00:00+00:00,en
1360,http://www.cbs12.com/,cbs12.com,,WPEC CBS,,online_news,USA,US-FL,video_broadcast,,2010-12-06 00:00:00+00:00,en
1452,http://www.newson6.com/,newson6.com,,kotv cbs,,online_news,USA,US-OK,video_broadcast,,1999-09-02 00:00:00+00:00,en
1549,http://www.fox23.com,fox23.com,,Fox 23,,online_news,USA,US-OK,video_broadcast,,2006-02-22 00:00:00+00:00,en
1558,http://www.ktul.com,ktul.com,,ktul abc,,online_news,USA,US-OK,video_broadcast,,2012-06-27 00:00:00+00:00,en
1694,https://www.star-telegram.com,star-telegram.com,,star-telegram.com,,online_news,USA,US-TX,print_native,,1996-05-14 00:00:00+00:00,en
18170,http://www.desmoinesregister.com/,desmoinesregister.com,,"The Des Moines Register | Des Moines news, community, entertainment, yellow pages and classifieds. Serving Des Moines, Iowa | De",,online_news,USA,US-IA,print_native,308,1995-12-13 00:00:00+00:00,en
18171,http://thegazette.com/,thegazette.com,,"Eastern Iowa Breaking News and Headlines | thegazette.com - Cedar Rapids, Iowa City",,online_news,USA,US-IA,print_native,,2009-04-03 00:00:00+00:00,en
18172,http://qctimes.com/,qctimes.com,,"Quad-City Times: Quad Cities, IA/IL",,online_news,USA,US-IA,print_native,35,2000-08-02 00:00:00+00:00,en
18173,http://wcfcourier.com/,wcfcourier.com,,WCFCourier.com,,online_news,USA,US-IA,print_native,42,2001-06-04 00:00:00+00:00,en
18174,http://www.siouxcityjournal.com/,siouxcityjournal.com,,Sioux City Journal,,online_news,USA,US-IA,print_native,43,2001-10-02 00:00:00+00:00,en
18177,http://www.amestrib.com/,amestrib.com,,Ames Tribune > Front,,online_news,USA,US-IA,print_native,,2010-11-13 00:00:00+00:00,en
18179,http://globegazette.com/,globegazette.com,,Globe Gazette - North Iowa News,,online_news,USA,US-IA,print_native,79,2006-09-12 00:00:00+00:00,en
18468,http://www.activistpost.com,activistpost.com,,activistpost.com,,online_news,,,,60,2010-06-26 00:00:00+00:00,en
18862,http://www.wnep.com,wnep.com,,wnep.com,,online_news,USA,US-PA,video_broadcast,,2002-08-28 00:00:00+00:00,en
18920,http://www.pennlive.com,pennlive.com,,pennlive.com,,online_news,USA,US-PA,digital_native,1001,2006-07-20 00:00:00+00:00,en
19017,http://cjonline.com,cjonline.com,,cjonline.com,,online_news,USA,US-KS,print_native,,1997-09-18 00:00:00+00:00,en
705144,http://go.sky.com/,sky.com,,sky.com,,online_news,,,,313,2010-07-15 00:00:00+00:00,en
19690,http://www.washingtonexaminer.com/news,washingtonexaminer.com,,Washington Examiner,,online_news,USA,US-DC,print_native,564,1995-10-16 00:00:00+00:00,en
1318069,http://deseret.com/,deseret.com,,deseret.com,,online_news,,,,288,1995-01-17 00:00:00+00:00,en
20755,http://www.thelostogle.com,thelostogle.com,,thelostogle.com,,online_news,,,,8,2009-03-31 00:00:00+00:00,en
21515,http://www.foxbusiness.com,foxbusiness.com,,Fox Business,,online_news,,,,5,2009-12-09 00:00:00+00:00,en
21242,http://thechive.com,thechive.com,,thechive.com,,online_news,,,,141,2008-11-29 00:00:00+00:00,en
21270,http://www.stripes.com,stripes.com,,Stars and Stripes,,online_news,USA,,print_native,71,2000-06-05 00:00:00+00:00,en
21590,http://www.brobible.com,brobible.com,,brobible.com,,online_news,,,,249,2011-09-03 00:00:00+00:00,en
21605,http://www.kcci.com,kcci.com,,kcci.com,,online_news,USA,US-IA,video_broadcast,400,2004-06-07 00:00:00+00:00,en
21615,http://uticaod.com,uticaod.com,,uticaod.com,,online_news,USA,US-NY,print_native,,2009-05-08 00:00:00+00:00,en
21794,http://journalstar.com,journalstar.com,,journalstar.com,,online_news,USA,US-NE,print_native,8,2005-01-16 00:00:00+00:00,en
22387,http://www.fox13now.com,fox13now.com,,fox13now.com,,online_news,USA,US-UT,video_broadcast,67,2012-03-06 00:00:00+00:00,en
23363,http://www.abcactionnews.com,abcactionnews.com,,abcactionnews.com,,online_news,USA,US-FL,video_broadcast,0,2010-03-09 00:00:00+00:00,en
1092,http://www.foxnews.com/,foxnews.com,,Foxnews.com,,online_news,USA,US-NY,video_broadcast,980,2001-02-02 00:00:00+00:00,en
24030,https://naturalnews.com,naturalnews.com,,naturalnews.com,,online_news,,,,94,2001-11-09 00:00:00+00:00,en
24533,http://www.city-journal.org,city-journal.org,,City Journal,,online_news,,,,26,2002-03-27 00:00:00+00:00,en
277890,http://fox35orlando.com/,fox35orlando.com,,fox35orlando.com,,online_news,,,,,2012-04-12 00:00:00+00:00,en
24592,http://www.clickorlando.com,clickorlando.com,,clickorlando.com,,online_news,USA,US-FL,video_broadcast,538,2009-09-30 00:00:00+00:00,en
