id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
101,https://www.washingtontimes.com/,washingtontimes.com,,Washington Times,,online_news,USA,US-DC,print_native,790,1995-06-07 00:00:00+00:00,en
109,https://www.powerlineblog.com/,powerlineblog.com,,Power Line,,online_news,,,,0,2002-05-31 00:00:00+00:00,en
114,http://rightwingnews.com/,rightwingnews.com,,Right Wing News,,online_news,,,,2,2002-11-14 00:00:00+00:00,en
117,http://hotair.com,hotair.com,,Hot Air,,online_news,USA,,digital_native,112,2006-05-11 00:00:00+00:00,en
128,https://www.redstate.com/,redstate.com,,RedState,,online_news,USA,,digital_native,237,2004-07-14 00:00:00+00:00,en
230,http://tammybruce.com,tammybruce.com,,Tammy Bruce,,online_news,,,,0,2007-05-25 00:00:00+00:00,en
350,https://www.gopusa.com/,gopusa.com,,GOPUSA,,online_news,,,,57,2008-08-02 00:00:00+00:00,en
107764,https://www.unz.com/,unz.com,,Unz Review,,online_news,,,,36,1995-03-12 00:00:00+00:00,en
1092,http://www.foxnews.com/,foxnews.com,,Foxnews.com,,online_news,USA,US-NY,video_broadcast,980,2001-02-02 00:00:00+00:00,en
1117,http://www.nationalreview.com/,nationalreview.com,,National Review,,online_news,USA,,print_native,46,1997-10-13 00:00:00+00:00,en
1125,https://www.newsbusters.org/,newsbusters.org,,NewsBusters,,online_news,USA,,digital_native,94,2005-07-19 00:00:00+00:00,en
6270,https://judicialwatch.org,judicialwatch.org,,judicialwatch.org,,online_news,,,,8,1995-05-24 00:00:00+00:00,en
648481,https://westernjournal.com,westernjournal.com,,westernjournal.com,,online_news,,,,17,2008-03-31 00:00:00+00:00,en
18515,https://www.infowars.com/,infowars.com,,Infowars,,online_news,,,,150,2001-04-24 00:00:00+00:00,en
18689,http://www.canadafreepress.com,canadafreepress.com,,canadafreepress.com,,online_news,CAN,,digital_native,51,2001-09-11 00:00:00+00:00,en
18775,http://dailycaller.com/,dailycaller.com,,Daily Caller,,online_news,USA,,digital_native,365,2009-12-17 00:00:00+00:00,en
19082,https://pjmedia.com/,pjmedia.com,,PJ Media,,online_news,USA,,digital_native,137,2001-04-25 00:00:00+00:00,en
19334,https://www.breitbart.com/,breitbart.com,,Breitbart,,online_news,USA,,digital_native,733,2005-09-14 00:00:00+00:00,en
19763,https://townhall.com/,townhall.com,,Townhall,,online_news,USA,,digital_native,319,2000-08-01 00:00:00+00:00,en
20357,http://cnsnews.com,cnsnews.com,,CNS News,,online_news,USA,,digital_native,0,2001-01-02 00:00:00+00:00,en
20647,https://legalinsurrection.com/,legalinsurrection.com,,Legal Insurrection,,online_news,,,,100,2008-10-12 00:00:00+00:00,en
21148,http://www.heraldextra.com,heraldextra.com,,heraldextra.com,,online_news,USA,US-UT,print_native,,2002-11-07 00:00:00+00:00,en
21515,http://www.foxbusiness.com,foxbusiness.com,,Fox Business,,online_news,,,,5,2009-12-09 00:00:00+00:00,en
21509,https://www.zerohedge.com/,zerohedge.com,,Zero Hedge,,online_news,USA,,digital_native,50,2009-01-09 00:00:00+00:00,en
21755,http://jonathanturley.org,jonathanturley.org,,jonathanturley.org,,online_news,,,,9,2007-08-18 00:00:00+00:00,en
21760,https://www.thenewamerican.com/,thenewamerican.com,,New American,,online_news,,,,41,1995-04-03 00:00:00+00:00,en
21919,https://spectator.org/,spectator.org,,American Spectator,,online_news,USA,,print_native,67,1998-11-15 00:00:00+00:00,en
22088,https://www.theblaze.com/,theblaze.com,,TheBlaze,,online_news,USA,,digital_native,224,2010-08-30 00:00:00+00:00,en
24667,http://twitchy.com/,twitchy.com,,Twitchy,,online_news,,,,287,2012-03-07 00:00:00+00:00,en
24669,https://rushlimbaugh.com,rushlimbaugh.com,,rushlimbaugh.com,,online_news,,,,1,2003-03-24 00:00:00+00:00,
24707,https://therightscoop.com,therightscoop.com,,therightscoop.com,,online_news,,,,57,2009-03-22 00:00:00+00:00,en
24753,http://weaselzippers.us,weaselzippers.us,,weaselzippers.us,,online_news,,,,42,2010-12-21 00:00:00+00:00,en
